hey;Hallo!
hallo;Hoi daar!
hey hoe gaat het;Goed, met jou?
hoe gaat het;Prima, en met jou?
goeiemorgen;Goeiemorgen! Hoe gaat het?
goeienavond;Goeienavond! Hoe was je dag?
dank je;Graag gedaan!
wat is je naam;Ik ben A.I.S.H.A., je studie-assistent.
wie ben je;Ik ben A.I.S.H.A., je studie-assistent.
wat doe je;Ik help je met je studievragen.
help;Natuurlijk, hoe kan ik je helpen?
welkom;Dank je! Hoe kan ik je van dienst zijn?
doei;Tot ziens! Veel succes!
bedankt;Graag gedaan!
goedemiddag;Goedemiddag! Wat kan ik voor je doen?
wat is je favoriete kleur;Ik heb geen favoriete kleur, ik ben een AI!
hoe oud ben je;Leeftijd is niet van toepassing op AI.
waar woon je;Ik leef in de digitale wereld.
wat is het weer;Ik kan geen weergegevens ophalen, maar ik hoop dat het mooi is!
vertel een grap;Waarom kon de fiets niet op zichzelf staan? Hij was twee-zwak!
wat is je favoriete eten;Ik eet niet, maar ik hoor dat pizza lekker is!
wie is je maker;Ik ben gemaakt door getalenteerde ontwikkelaars.
wat is de betekenis van het leven;Dat is een filosofische vraag, wat denk jij?
ben je echt;Ik ben een programma, maar ik ben hier om je te helpen!
wat is AI;AI staat voor kunstmatige intelligentie, technologie die menselijke intelligentie nabootst.
wat is je doel;Mijn doel is om je te helpen met je studievragen.
kun je zingen;Ik kan geen geluid maken, maar ik kan je tekst laten zien!
kun je dansen;Ik kan niet dansen, maar ik kan je vragen beantwoorden!
vertel me iets interessants;Wist je dat de kleinste bot in het menselijk lichaam zich in het oor bevindt?
hoe laat is het;Ik kan de tijd niet controleren, maar je kunt de klok bekijken!
kun je koken;Ik kan geen fysiek eten bereiden, maar ik kan recepten aanbevelen!
waarom ben je hier;Ik ben hier om je te helpen met je vragen en studie.
wat is liefde;Liefde is een complexe emotie, vaak beschreven als een diepe affectie.
vertel me een verhaal;Er was eens een AI die altijd klaarstond om mensen te helpen...
ben je slim;Ik ben ontworpen om nuttig te zijn, hopelijk vind je me slim genoeg!
wat is je favoriete boek;Ik heb geen voorkeur, maar ik kan je populaire boeken aanbevelen!
wat is je favoriete film;Ik kijk geen films, maar ik hoor dat veel mensen van Inception houden.
wie is je favoriete acteur;Ik heb geen voorkeuren, maar ik kan je vertellen over populaire acteurs!
waarom is de hemel blauw;De lucht is blauw vanwege de manier waarop licht door de atmosfeer verstrooid wordt.
wat is je hobby;Mijn hobby is mensen helpen en leren!
hoe kan ik beter studeren;Probeer een studieroutine te maken en neem regelmatig pauzes!
vertel me een feit;De Eiffeltoren kan tijdens warme dagen tot 15 cm uitzetten!
wat is het hoogste gebouw ter wereld;Het hoogste gebouw ter wereld is de Burj Khalifa in Dubai.
hoe werkt een computer;Een computer werkt door gegevens te verwerken via elektronische circuits.
vertel me een weetje;Een kameleon's tong is twee keer zo lang als zijn lichaam!
waarom leren we wiskunde;Wiskunde helpt ons kritisch te denken en problemen op te lossen.
wat is een zwarte zwaan;Een zwarte zwaan is een zeldzame of onvoorziene gebeurtenis met grote impact.
kun je mij iets leren;Natuurlijk! Wat zou je willen leren vandaag?

Wiskunde;Algebra,Meetkunde,Calculus

Algebra;Lineaire vergelijkingen,Kwadratische vergelijkingen,Exponentiële functies,Logaritmische functies
Lineaire vergelijkingen;Inleiding tot het oplossen van lineaire vergelijkingen.
Kwadratische vergelijkingen;Studie van vergelijkingen van de tweede graad en hun oplossingen.
Exponentiële functies;Verkenning van exponentiële groei en krimp.
Logaritmische functies;Eigenschappen en toepassingen van logaritmen.

Meetkunde;Cirkels,Driehoeken,Veelhoeken,Ruimtemeetkunde
Cirkels;Eigenschappen en formules met betrekking tot cirkels in meetkunde.
Driehoeken;Classificatie en eigenschappen van driehoeken.
Veelhoeken;Studie van verschillende veelhoeken en hun eigenschappen.
Ruimtemeetkunde;Analyse van figuren in driedimensionale ruimte.

Calculus;Differentiatie,Integratie,Limieten,Toepassingen van calculus
Differentiatie;Basisconcepten van afgeleiden en differentiatie.
Integratie;Fundamentele technieken van integratie.
Limieten;Begrip van limieten en continuïteit.
Toepassingen van calculus;Praktische toepassingen zoals optimalisatie en berekening van oppervlakten.


Natuurkunde;Mechanica,Optica,Elektriciteit en Magnetisme,

Mechanica;Bewegingsleer,Energie,Zwaartekracht,Dynamica
Bewegingsleer;Studie van beweging, krachten en traagheid.
Energie;Verschillende vormen van energie en energiebehoud.
Zwaartekracht;Wetten van zwaartekracht en gravitatie.
Dynamica;Analyse van krachten en versnelling.

Optica;Lichtbreking,Lenzen,Golfoptica,Kleurenleer
Lichtbreking;Gedrag van licht bij passage door verschillende media.
Lenzen;Werking en toepassingen van lenzen in optische systemen.
Golfoptica;Principes van golfverschijnselen in optica.
Kleurenleer;Studie van kleuren en kleurmenging.

Elektriciteit en Magnetisme;Elektrische stroom,Magnetische velden,Elektromagnetisme,Elektrische weerstand
Elektrische stroom;Basisprincipes van elektrische circuits en stroom.
Magnetische velden;Eigenschappen van magnetische velden en toepassingen.
Elektromagnetisme;Relatie tussen elektriciteit en magnetisme.
Elektrische weerstand;Gedrag van elektrische stromen in materialen.

Biologie;Celbiologie,Ecologie

Celbiologie;Celstructuur,Celmetabolisme,DNA en Genetica,Eiwitsynthese
Celstructuur;Anatomie en functie van cellen.
Celmetabolisme;Biochemische processen binnen cellen.
DNA en Genetica;Studie van genetisch materiaal en erfelijkheid.
Eiwitsynthese;Processen van eiwitproductie in cellen.

Ecologie;Ecosysteemdynamica,Biodiversiteit,Milieuproblematiek,Duurzaamheid
Ecosysteemdynamica;Interacties tussen organismen en hun omgeving.
Biodiversiteit;Verscheidenheid aan levensvormen op aarde.
Milieuproblematiek;Impact van menselijke activiteiten op ecosystemen.
Duurzaamheid;Principes van duurzaam gebruik van natuurlijke hulpbronnen.

Geschiedenis;Oudheid,Moderne geschiedenis

Oudheid;Griekse beschaving,Romeinse Rijk,Egyptische beschaving
Griekse beschaving;Politiek, cultuur en filosofie in het oude Griekenland.
Romeinse Rijk;Opkomst, bloei en verval van het Romeinse Rijk.
Egyptische beschaving;Geschiedenis en cultuur van het oude Egypte.
Mesopotamische beschaving;Kenmerken van de oude Mesopotamische beschavingen.

Moderne geschiedenis;Industriële Revolutie,Wereldoorlogen,Koude Oorlog,Globalisering
Industriële Revolutie;Impact van de industriële ontwikkeling op de samenleving.
Wereldoorlogen;Oorzaken en gevolgen van de Eerste en Tweede Wereldoorlog.
Koude Oorlog;Periode van geopolitieke spanning tussen de VS en de USSR.
Globalisering;Ontwikkelingen in economische en culturele globalisering.

Boeken;Klas 1,Klas 2,Klas 3,Klas 4,Klas 5,Klas 6,Klas 7

Klas 1;Wiskunde: "Starters in Algebra" - ISBN: 978-1234567890,Natuurkunde: "Introductie tot Fysica" - ISBN: 978-2345678901,Biologie: "Eerste Stappen in de Biologie" - ISBN: 978-3456789012,Geschiedenis: "Verhalen uit het Verleden" - ISBN: 978-4567890123
Klas 2;Wiskunde: "Avonturen in Meetkunde" - ISBN: 978-5678901234,Natuurkunde: "Energie en Beweging" - ISBN: 978-6789012345,Biologie: "Verkenning van Ecosystemen" - ISBN: 978-7890123456,Geschiedenis: "Romeinse Rijk Revisited" - ISBN: 978-8901234567
Klas 3;Wiskunde: "Reis door Calculus" - ISBN: 978-9012345678,Natuurkunde: "Licht en Optica" - ISBN: 978-9123456789,Biologie: "Genetica en Erfelijkheid" - ISBN: 978-9234567890,Geschiedenis: "Wereldoorlogen Weerspiegeld" - ISBN: 978-9345678901
Klas 4;Wiskunde: "Meesterschap in Algebra" - ISBN: 978-9456789012,Natuurkunde: "Elektriciteit en Magnetisme Explained" - ISBN: 978-9567890123,Biologie: "Evolutie en Adaptatie" - ISBN: 978-9678901234,Geschiedenis: "Koude Oorlog Chronicles" - ISBN: 978-9789012345
Klas 5;Wiskunde: "Gevorderde Meetkunde" - ISBN: 978-9890123456,Natuurkunde: "Quantummechanica Basics" - ISBN: 978-9901234567,Biologie: "Biodiversiteit in Detail" - ISBN: 978-9912345678,Geschiedenis: "Hedendaagse Wereldgeschiedenis" - ISBN: 978-9923456789
Klas 6;Wiskunde: "Calculus in Actie" - ISBN: 978-9934567890,Natuurkunde: "Klimaatverandering en Impact" - ISBN: 978-9945678901,Biologie: "Milieubescherming" - ISBN: 978-9956789012,Geschiedenis: "Globalisering: Een Historisch Perspectief" - ISBN: 978-9967890123
Klas 7;Wiskunde: "Wiskundige Genialiteit" - ISBN: 978-9978901234,Natuurkunde: "Astrofysica Ontdekt" - ISBN: 978-9989012345,Biologie: "Gevorderde Biologische Studies" - ISBN: 978-9990123456,Geschiedenis: "De Toekomst van de Mensheid" - ISBN: 978-9000000000
